Number,word,transliteration,abbreviation
17012,купюра,kupyura,
17037,курица,kuritsa,
17060,куртка,kurtka,
17070,курьер,kuryer,
17082,кусок,kusok,
17084,куст,kust,
17107,кухня,kuhnya,
17134,лабиринт,labirint,
17142,лава,lava,
17145,лавина,lavina,
17148,лавка,lavka,
17161,лагерь,lager,
17175,ладонь,ladon,
17188,лазер,lazer,
17223,лампа,lampa,
17235,ландыш,landysh,
17251,лапша,lapsha,
17264,ласт,last,
17267,ласточка,lastochka,
17305,лебедь,lebed,
17308,лев,lev,
17324,левый,levyy,
17345,лёгкий,lyogkiy,
17367,лёд,lyod,
17390,лежать,lezhat,
17394,лезвие,lezvie,
17427,лён,lyon,
17430,ленивец,lenivets,
17446,лента,lenta,
17457,лепесток,lepestok,
17461,лепёшка,lepyoshka,
17477,леска,leska,
17529,лестница,lestnitsa,
17542,лететь,letet,
17547,лето,leto,
17579,лиана,liana,
17631,лилия,liliya,
17639,лимон,limon,
17653,линейка,lineyka,
17657,линза,linza,
17671,липкий,lipkiy,
17686,лиса,lisa,
17691,лист,list,
17740,лить,lit,
17744,лифт,lift,
17781,лицо,litso,
17803,лоб,lob,
17828,ловкость,lovkost,
17851,лодка,lodka,
17866,ложка,lozhka,
17885,локоть,lokot,
17888,лом,lom,
17910,лопасть,lopast,
17911,лопата,lopata,
17920,лопух,lopuh,
17929,лоскут,loskut,
17935,лосось,losos,
17936,лось,los,
17943,лотос,lotos,
17957,лошадь,loshad,
17973,лужа,luzha,
17995,луна,luna,
18003,лупа,lupa,
18006,луч,luch,
18021,лыжа,lyzha,
18082,любовь,lyubov,
18105,люк,lyuk,
18117,люстра,lyustra,
18135,лягушка,lyagushka,
18144,лямка,lyamka,
18156,магазин,magazin,
18179,магнит,magnit,
18215,мазь,maz,
18216,май,may,
18225,мак,mak,
18274,малина,malina,
18346,мальчик,malchik,
18362,мама,mama,
18374,мамонт,mamont,
18383,манго,mango,
18384,мандарин,mandarin,
18400,манекен,maneken,
18410,маникюр,manikyur,
18450,марафон,marafon,
18496,мармелад,marmelad,
18507,март,mart,
18521,маршрут,marshrut,
18527,маска,maska,
18546,масло,maslo,
18554,массаж,massazh,
18619,материк,materik,
18640,матрас,matras,
18684,мачта,machta,
18702,маяк,mayak,
18704,маятник,mayatnik,
18727,мёд,myod,
18729,медаль,medal,
18734,медведь,medved,
18776,медуза,meduza,
18834,мел,mel,
18884,мельница,melnitsa,
18932,меню,menyu,
19041,метать,metat,
19056,метеорит,meteorit,
19072,метла,metla,
19094,метро,metro,
19104,мех,meh,
19121,меч,mech,
19125,мечта,mechta,
19140,мешок,meshok,
19156,мигать,migat,
19191,микроскоп,mikroskop,
19199,микрофон,mikrofon,
19268,миндаль,mindal,
19324,минута,minuta,
19330,мир,mir,
19331,мираж,mirazh,
19362,миска,miska,
19393,миф,mif,
19591,мозаика,mozaika,
19593,мозг,mozg,
19607,мокрый,mokryy,
19636,молния,molniya,
19663,молоко,moloko,
19670,молоток,molotok,
19718,монета,moneta,
19797,море,more,
19805,морж,morzh,
19812,морковь,morkov,
19814,мороженое,morozhenoe,
19846,морщина,morshchina,
19862,мост,most,
19887,мотор,motor,
19898,мотоцикл,mototsikl,
19905,мох,moh,
19914,мочалка,mochalka,
19949,мрамор,mramor,
19975,муж,muzh,
19996,музей,muzey,
20001,музыка,muzyka,
20010,мука,muka,
