S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS
,цитировать,348.93,,цитата,105.21,,цитироваться,3.22,,цитирование,2.80,,,
,база,347.85,,базовый,47.83,,базис,24.17,,базироваться,12.74,,базисный,11.35
,шампанское,345.75,,шампанский,3.73,,,,,,,,,
,тормоз,343.08,,тормозить,196.93,,тормознуть,157.54,,затормозить,138.24,,притормозить,108.54
,важно,342.50,,важный,301.63,,важность,108.87,,уважать,98.11,,отвага,91.70
,дикарь,341.91,,дикий,140.62,,диковинка,24.78,,диковина,23.42,,одичать,21.10
,схема,341.20,,микросхема,318.29,,схематичный,2.41,,,,,,
,культура,341.17,,культурный,209.54,,культурно,29.58,,культурист,19.74,,субкультура,14.71
,секретарша,338.48,,секретариат,10.84,,секретарский,2.47,,,,,,
,желать,338.34,,желание,304.52,,пожелать,105.83,,желающий,82.33,,пожелание,71.82
,скульптура,337.49,,скульптор,38.06,,скульптурный,6.09,,,,,,
,альбом,337.09,,альбомчик,178.44,,альбомный,177.81,,,,,,
,впервые,336.99,,сперва,199.64,,прима,135.36,,во-первых,88.98,,первенец,79.73
,дернуть,336.68,,дергать,326.42,,задрать,322.77,,драка,247.35,,дергаться,222.80
,претендент,335.39,,претендентка,205.18,,претендовать,14.92,,,,,,
,красть,331.31,,вкрадчиво,189.33,,обокрасть,187.41,,украдкой,111.40,,вкрадчивый,80.85
,какать,330.62,,качество,177.26,,качественный,57.74,,как-как,7.69,,,
,компромисс,330.22,,,,,,,,,,,,
,стихи,329.79,,стих,100.67,,стиховой,5.82,,,,,,
,артист,329.77,,артистка,75.64,,артистичный,9.31,,артистизм,7.21,,артистично,2.94
,враг,329.61,,ворог,181.83,,вражеский,16.82,,вражда,12.24,,враждовать,8.78
,ронять,328.33,,уронить,281.31,,обронить,215.42,,выронить,213.28,,урон,12.15
,воскресить,326.81,,воскрешать,317.70,,воскресение,37.86,,воскреснуть,35.41,,воскресенье,35.32
,обратно,326.49,,оборот,293.45,,обратный,210.57,,наоборот,140.77,,обратить,131.04
,заклинание,325.56,,проклинать,320.48,,заклинатель,256.07,,заклинать,3.29,,,
,тысяча,322.98,,тысячный,20.58,,,,,,,,,
,плевок,322.64,,плевать,294.25,,плюнуть,293.74,,сплюнуть,221.01,,плеваться,188.81
,авария,322.20,,,,,,,,,,,,
,крестьянка,321.78,,крестьянский,237.94,,крестьянин,41.49,,крестьянство,10.09,,,
,ужас,321.16,,ужасать,133.20,,ужаснуть,105.23,,ужасный,54.11,,ужаснуться,11.30
,магистраль,320.36,,,,,,,,,,,,
,фиолетовый,318.60,,,,,,,,,,,,
,конструктор,318.09,,конструкция,51.07,,,,,,,,,
,колдун,318.07,,колдунья,206.80,,околдовать,7.38,,колдовать,7.11,,колдовской,5.78
,конвой,317.58,,конвойный,4.45,,бесконвойный,1.17,,подконвойный,1.17,,,
,дьявол,317.22,,диавол,303.72,,дьявольский,66.40,,дьявольщина,1.15,,дьявольски,0.93
,молчать,316.23,,молча,162.74,,молчание,140.86,,помолчать,108.32,,замолчать,104.49
,резиденция,316.05,,,,,,,,,,,,
,хромой,315.91,,хромать,265.10,,захромать,179.04,,прихрамывать,104.77,,хром,16.72
,планетарий,315.30,,планета,72.25,,планетный,17.85,,планетарный,17.16,,планетка,10.20
,мишень,315.15,,,,,,,,,,,,
,парикмахер,314.94,,парикмахерша,204.66,,,,,,,,,
,сегодня,314.64,,сегодняшний,66.29,,,,,,,,,
,канава,314.34,,канавка,255.43,,,,,,,,,
,свинец,314.11,,свинцовый,8.10,,,,,,,,,
,жертвенник,314.05,,жертва,219.95,,жертвовать,18.75,,жертвенный,15.11,,пожертвовать,14.72
,публика,313.88,,публикация,76.08,,опубликовать,27.68,,публиковать,17.59,,публикатор,3.85
,мычать,312.93,,замычать,204.76,,промычать,179.81,,мычание,5.95,,,
,карлик,312.81,,карлица,254.00,,карликовый,2.40,,,,,,
,объект,311.25,,объектный,6.63,,,,,,,,,
,филармония,310.80,,,,,,,,,,,,
,сортир,310.72,,сортирный,1.68,,,,,,,,,
,аттракцион,310.65,,,,,,,,,,,,
,синтезатор,309.90,,синтез,20.64,,,,,,,,,
,клеймо,309.65,,клеймить,1.33,,заклеймить,0.81,,,,,,
,полировать,309.51,,отполировать,205.33,,полированный,4.85,,полирование,1.24,,,
,щемить,309.37,,защемить,205.72,,прищемить,178.79,,ущемить,7.49,,ущемлять,6.12
,оттопырить,308.91,,растопырить,259.85,,оттопыривать,202.31,,,,,,
,торчать,308.66,,торчком,259.53,,проторчать,2.86,,,,,,
,антифашист,308.49,,фашизм,4.52,,фашистский,4.38,,фашиствующий,0.54,,,
,шатать,308.44,,шататься,216.89,,расшатать,182.34,,зашататься,155.45,,отшатнуться,133.12
,медикамент,308.22,,,,,,,,,,,,
,тускло,307.80,,,,,,,,,,,,
,полезный,307.71,,использовать,280.30,,нельзя,237.18,,польза,232.92,,пользователь,202.91
,полиметалл,307.68,,полис,18.48,,полимерный,16.30,,полином,12.81,,полиморфизм,7.84
,укротитель,307.36,,укротить,9.81,,укрощать,7.69,,кроткий,6.64,,кротко,5.59
,зашвырнуть,307.32,,швырять,268.93,,швырнуть,218.91,,швыряться,178.70,,отшвырнуть,157.21
,благоухать,307.20,,благоуханный,202.30,,благоухание,3.18,,,,,,
,снотворное,306.40,,снотворный,4.46,,,,,,,,,
,фантом,306.35,,фантомный,1.57,,,,,,,,,
,штамповать,306.10,,штамп,42.93,,штамповка,6.50,,штампованный,3.11,,,
,эластичный,306.04,,эластичность,2.05,,эластический,1.73,,,,,,
,ураган,305.71,,ураганный,178.11,,,,,,,,,
,тучный,305.55,,,,,,,,,,,,
,комплекс,305.51,,комплексный,22.62,,,,,,,,,
,хлорка,305.32,,хлор,4.58,,хлорид,2.66,,хлорит,1.88,,хлорный,1.43
,близкие,304.79,,близко,255.87,,близкий,225.56,,ближайший,224.26,,ближний,174.38
,ерзать,304.65,,поерзать,202.02,,,,,,,,,
,сипеть,304.63,,сиплый,6.18,,сип,4.15,,просипеть,2.79,,осипший,2.06
,фирма,304.62,,фирменный,47.51,,фирмач,15.77,,фирмочка,4.80,,,
,гравировка,304.22,,гравировать,253.89,,гравер,6.89,,,,,,
,дурман,304.12,,дурманить,176.79,,одурманить,75.73,,одурманивать,50.36,,,
,калашников,303.60,,,,,,,,,,,,
,мозоль,303.49,,мозолить,202.73,,мозолистый,151.96,,намозолить,151.18,,,
,вампир,303.39,,вампирша,201.18,,,,,,,,,
,регион,303.33,,региональный,37.22,,регионал,10.10,,,,,,
,стервятник,303.22,,остервенело,0.70,,остервенение,0.66,,стервозный,0.48,,остервенелый,0.38
,календарик,303.06,,календарный,2.99,,,,,,,,,
,дюймовочка,302.92,,дюйм,9.91,,дюймовый,3.37,,,,,,
,эскадрилья,302.85,,,,,,,,,,,,
,капкан,302.77,,,,,,,,,,,,
,гетера,302.14,,,,,,,,,,,,
,оспина,302.12,,оспа,203.29,,оспенный,0.63,,,,,,
,бодать,302.01,,боднуть,252.22,,бодаться,202.01,,забодать,201.50,,бодун,3.52
,роль,299.00,,ролевой,16.06,,,,,,,,,
,план,297.72,,планировать,147.17,,планирование,82.80,,плановый,61.38,,спланировать,41.17
,руководство,295.98,,руководимый,291.03,,руководитель,124.84,,руководящий,47.01,,руководить,45.47
,территория,295.37,,,,,,,,,,,,
,центр,294.21,,центральный,136.63,,центрист,43.25,,центристский,16.94,,централ,12.23
,прислать,288.98,,послать,227.25,,ссылка,186.00,,ссылаться,160.69,,посылать,125.80
,творить,288.30,,творец,262.11,,творение,195.98,,творческий,151.51,,сотворить,148.51
,контора,287.67,,конторка,207.40,,конторщик,3.14,,конторский,2.93,,,
,идея,287.34,,идеалист,69.80,,,,,,,,,
,продуктовый,285.93,,продуктивный,234.96,,продукт,187.84,,субпродукт,156.82,,,
,депутат,285.76,,депутатский,22.31,,депутатство,2.17,,,,,,
,пьеса,285.59,,пьеска,27.18,,,,,,,,,
,четвереньки,284.89,,четвертинка,268.92,,четверть,125.57,,четверка,66.68,,четверг,62.48
,исчезать,280.24,,исчезнуть,54.53,,исчезновение,23.50,,,,,,
,нрав,279.48,,понравиться,119.30,,нравственный,78.57,,нравиться,52.22,,норовить,33.96
,дорогой,278.78,,дорожить,42.27,,дорого,21.61,,недорогой,19.75,,недорого,16.25
,корзина,277.97,,корзинка,11.80,,корзиночка,3.81,,,,,,
,студент,277.15,,студентка,63.24,,,,,,,,,
,наружка,272.93,,наружу,230.45,,снаружи,175.31,,наружный,146.39,,обнаружить,134.90
,тип,272.76,,типаж,89.68,,типичный,48.78,,типовой,39.37,,подтип,28.09
,грянуть,271.92,,нагрянуть,186.49,,грядущий,22.52,,грясти,9.35,,,
,хулиган,270.37,,хулиганка,178.26,,хулиганье,177.97,,хулиганский,5.37,,хулиганить,5.22
,фонд,270.08,,фондовый,36.70,,,,,,,,,
,программа,269.75,,программист,53.76,,программный,30.65,,программка,23.82,,подпрограмма,5.42
,демонстрант,268.49,,демонстрация,45.49,,,,,,,,,
,пришелец,267.88,,прошлый,180.84,,прошлое,146.69,,происшествие,54.06,,пошлина,53.15
,стынуть,267.18,,остынуть,227.80,,остывать,218.34,,застынуть,207.44,,застывать,188.94
,томительный,266.93,,томление,212.25,,утомленный,160.46,,томный,41.25,,томить,22.65
,арсенал,266.12,,арсенальный,0.72,,,,,,,,,
,аппарат,265.84,,аппаратура,36.62,,аппаратная,14.21,,аппаратный,9.87,,госаппарат,6.58
,супермаркет,264.82,,гипермаркет,255.27,,маркетолог,4.00,,,,,,
,наемник,263.97,,наемный,16.74,,наем,11.07,,найм,3.99,,наемничество,0.46
,левый,263.81,,слева,141.67,,налево,88.86,,влево,86.16,,левша,85.81
,петербуржец,263.57,,,,,,,,,,,,
,великий,263.25,,величина,96.99,,увеличиться,86.60,,увеличение,79.50,,увеличить,72.95
,пункт,261.87,,пунктик,14.79,,продпункт,13.80,,подпункт,11.50,,,
,кондиционер,261.82,,кондиция,4.90,,,,,,,,,
,снайпер,261.73,,снайперский,1.80,,,,,,,,,
,экскурсовод,261.60,,экскурсия,34.50,,экскурсант,10.25,,экскурс,4.38,,,
,ухмылка,260.94,,ухмыляться,157.28,,ухмыльнуться,106.04,,,,,,
,гримаса,260.58,,гримаска,202.55,,гримасничать,101.45,,,,,,
,ремесленник,260.23,,ремесло,36.84,,ремесленный,4.12,,,,,,
,аккумулятор,259.23,,аккумуляция,0.97,,,,,,,,,
,репродуктор,258.98,,репродукция,6.24,,,,,,,,,
,реставратор,258.69,,реставрация,8.18,,,,,,,,,
,скрежет,258.39,,скрежетать,153.41,,скрежетнуть,126.33,,заскрежетать,101.64,,,
,презерватив,258.38,,,,,,,,,,,,
,иллюминатор,258.23,,иллюминация,253.33,,,,,,,,,
,минирование,258.16,,минер,181.48,,минный,161.11,,заминировать,52.76,,мина,50.69
,вдарить,258.14,,недаром,17.18,,одаренный,15.42,,дареный,7.43,,дарственная,2.63
,конвоир,257.92,,конвоировать,101.24,,,,,,,,,
,поликлиника,257.88,,,,,,,,,,,,
,жандарм,257.76,,жандармский,1.16,,жандармерия,0.82,,,,,,
,ад,257.68,,адский,11.50,,адов,5.97,,,,,,
,иллюзионист,257.58,,иллюзия,31.60,,иллюзион,7.94,,,,,,
,корчить,257.28,,скорчить,204.71,,корча,177.50,,корчиться,90.57,,скорчиться,76.81
,шаркать,257.12,,шарканье,202.63,,шаркнуть,202.03,,зашаркать,176.78,,,
,антиквариат,257.07,,антикварный,9.10,,антиквар,7.75,,,,,,
,сиротка,256.85,,сирота,162.54,,сир,8.38,,сирый,4.61,,осиротеть,3.76
,таракан,256.74,,тараканий,2.94,,,,,,,,,
,немытый,256.61,,мытарь,2.22,,мытарство,0.96,,мытарить,0.89,,размытость,0.41
,пачкать,256.57,,испачкать,180.39,,запачкать,178.87,,пачкаться,178.11,,выпачкать,176.88
,пресный,256.50,,,,,,,,,,,,
,шляться,256.38,,,,,,,,,,,,
,проворонить,256.15,,воронье,255.14,,ворона,13.10,,ворон,9.91,,вороной,4.24
,консульство,254.75,,,,,,,,,,,,
,набалдашник,254.56,,обалдеть,8.55,,балдеть,5.58,,обалдело,3.05,,обалденный,2.45
,амортизатор,254.39,,амортизация,2.47,,,,,,,,,
,слякоть,253.90,,слякотный,176.58,,,,,,,,,
,дефектоскоп,253.74,,дефект,9.86,,дефектный,1.16,,,,,,
,каркать,253.40,,карканье,201.36,,каркнуть,201.36,,накаркать,88.20,,,
,васильковый,253.38,,васильевский,3.39,,,,,,,,,
,лихой,253.37,,слишком,106.93,,лишний,77.29,,лишить,60.35,,излишний,43.97
,материал,253.16,,материалист,15.07,,материально,11.36,,материализм,10.78,,,
,зелененький,252.88,,зелененькая,251.92,,,,,,,,,
,плесень,252.74,,,,,,,,,,,,
,культиватор,252.47,,,,,,,,,,,,
,александрит,252.29,,,,,,,,,,,,
,буксировать,252.28,,буксовать,177.19,,забуксовать,126.01,,,,,,
,телеграфист,252.25,,телеграфный,3.05,,,,,,,,,
,опочивальня,252.23,,почить,9.27,,почивать,5.82,,почивший,4.12,,,
,волейболист,252.15,,,,,,,,,,,,
,першить,252.01,,поперхнуться,101.99,,,,,,,,,
,вой,250.18,,завыть,161.72,,взвыть,161.52,,завывать,105.23,,взвывать,102.05
,прикоснуться,247.40,,касаться,193.33,,коснуться,143.42,,касание,57.64,,прикасаться,53.21
,выдавить,246.90,,придавить,210.86,,задавить,118.83,,давить,114.41,,раздавить,110.90
,мэр,244.07,,мэрия,104.27,,мэрский,3.85,,,,,,
,цифра,242.85,,цифирь,18.66,,цифровой,16.63,,оцифрованный,1.39,,,
,тройка,239.99,,втроем,194.31,,троица,180.33,,треть,83.02,,тройной,53.58
,менее,237.34,,меньший,87.08,,уменьшить,34.07,,уменьшать,24.01,,меньшинство,20.88
,арест,237.24,,арестант,112.56,,арестовать,99.95,,арестовывать,57.09,,арестованный,56.28
,плен,236.71,,пленительный,210.45,,пленный,141.51,,пленница,104.61,,пленник,49.66
,часто,236.43,,частично,41.39,,часто-часто,4.40,,,,,,
,милый,235.82,,милостыня,197.49,,милость,80.27,,милая,56.46,,умиление,35.51
,редкий,233.74,,редко,115.75,,нередко,67.48,,изредка,48.96,,редкость,35.95
,бизнес,233.49,,,,,,,,,,,,
,пистолет,230.59,,пистолетик,152.66,,пистолетный,2.93,,,,,,
,революция,229.20,,революционер,19.26,,,,,,,,,
,живопись,225.80,,,,,,,,,,,,
,стон,225.66,,стонать,140.47,,стенать,129.80,,застонать,95.52,,простонать,80.42
,батальон,223.93,,батальонный,4.30,,,,,,,,,
,внешний,223.66,,внешность,130.05,,извне,76.16,,внешне,55.73,,вовне,40.95
,ушиб,223.40,,ушибить,140.45,,сшибить,137.83,,вышибить,114.87,,ошибка,111.21
,прочный,220.23,,впрочем,167.31,,прочь,153.84,,прочно,101.85,,прочность,65.20
,значит,220.17,,значимо,7.82,,неоднозначно,4.85,,незначимый,4.69,,,
,сигнализация,219.99,,просигналить,206.94,,сигнал,187.18,,сигналить,11.01,,посигналить,1.83
,атака,219.69,,атаковать,100.70,,контратака,79.54,,,,,,
,повредить,219.64,,вредитель,101.50,,вред,65.53,,вредный,41.63,,вредить,33.99
,язва,218.62,,уязвить,13.85,,язвить,12.09,,съязвить,8.50,,уязвимый,8.12
,партизан,217.93,,партизанка,152.77,,партизанский,6.54,,партизанить,2.31,,,
,майор,217.69,,майорский,11.96,,майорша,3.23,,,,,,
,нация,216.77,,национальный,57.67,,национализм,7.36,,националист,6.42,,,
,ноябрь,216.22,,ноябрьский,12.91,,,,,,,,,
,много,216.21,,немного,207.68,,множество,125.55,,намного,91.06,,размножение,87.23
,дремучий,215.55,,дремать,59.60,,дрема,34.29,,задремать,27.86,,подремать,11.88
,слепящий,215.52,,ослепить,110.37,,слепой,65.98,,слепец,21.55,,ослепительно,10.37
,агент,215.49,,агентство,120.58,,агентура,9.07,,агентский,4.30,,агентурный,2.86
,пожирать,214.74,,прожорливый,5.06,,обжорство,0.70,,,,,,
,возникать,214.30,,возникнуть,180.47,,проникать,156.70,,проникнуть,145.47,,ник,108.85
,пока,214.15,,покуль,7.77,,покамест,7.33,,,,,,
,вонь,212.88,,вонять,159.74,,вонючий,135.21,,завонять,101.68,,провонять,89.57
,позиция,211.80,,позиционный,12.67,,суперпозиция,2.53,,,,,,
,затем,211.14,,,,,,,,,,,,
,кроватка,211.09,,кровать,114.31,,прикроватный,0.86,,,,,,
,посерьезнеть,210.89,,серьезно,31.86,,серьезнейший,11.48,,,,,,
,плакать,210.71,,заплакать,120.17,,поплакать,98.97,,заплаканный,70.14,,расплакаться,57.29
,бушевать,209.97,,,,,,,,,,,,
,лабиринт,209.30,,,,,,,,,,,,
,мститель,208.89,,мстить,13.60,,месть,9.77,,отомстить,8.61,,мщение,2.65
,максимизация,208.77,,максимальный,66.85,,максимально,30.20,,максима,25.70,,максималист,9.49
,союз,208.26,,союзник,193.82,,союзный,69.23,,союзница,22.33,,союзнический,9.00
,госпиталь,208.12,,госпитальный,2.80,,,,,,,,,
,нелюбопытный,207.65,,любопытно,58.57,,любопытство,33.47,,любопытный,18.62,,,
,факт,207.27,,фактически,44.36,,фактический,23.05,,постфактум,6.23,,,
,морг,207.20,,,,,,,,,,,,
,стабилизатор,207.05,,стабилизация,3.73,,,,,,,,,
,кряхтеть,206.57,,кряхтение,176.78,,кряхтенье,176.59,,закряхтеть,151.81,,покряхтеть,151.67
,коррупционер,206.33,,коррупция,43.37,,,,,,,,,
,эмигрировать,206.30,,,,,,,,,,,,
,конкурс,205.58,,конкурсант,14.21,,конкурсный,13.06,,,,,,
,специалистка,205.54,,неспециалист,6.28,,,,,,,,,
,инъекция,205.20,,,,,,,,,,,,
,панихида,205.20,,,,,,,,,,,,
,таращить,204.97,,вытаращить,154.84,,таращиться,153.73,,вытаращиться,101.32,,,
,заляпать,204.95,,ляпнуть,3.86,,ляп,3.86,,вляпаться,2.03,,,
,расстегивать,204.39,,подстегивать,202.97,,,,,,,,,
,коррозия,204.33,,коррозионный,0.72,,,,,,,,,
,гнус,204.24,,гнусный,1.79,,гнушаться,1.06,,гнусность,0.46,,,
,харя,204.20,,,,,,,,,,,,
,ковылять,203.99,,заковылять,151.88,,доковылять,151.50,,поковылять,151.27,,проковылять,126.16
,гаркнуть,203.90,,,,,,,,,,,,
,шлак,203.89,,,,,,,,,,,,
,банда,203.86,,бандит,191.37,,бандитский,4.15,,бандитизм,1.34,,,
,черствый,203.56,,черстветь,176.20,,зачерстветь,125.96,,черствость,0.85,,,
,насупить,203.26,,насупиться,153.41,,,,,,,,,
,хрущевка,203.25,,хрущевский,4.31,,,,,,,,,
,верещать,203.11,,заверещать,152.33,,,,,,,,,
,малевать,202.81,,намалевать,152.02,,размалевать,126.68,,маляр,14.77,,малярный,1.82
,кондитерская,202.79,,кондитер,5.35,,кондитерский,2.61,,,,,,
,скользкий,202.78,,выскользнуть,110.64,,ускользать,84.30,,вскользь,20.03,,скользить,8.01
,профессор,202.02,,профессура,11.58,,профессорша,2.85,,,,,,
,пыжиться,201.99,,напыжиться,150.90,,пыжик,7.86,,пыж,3.57,,,
,полицмейстер,201.98,,,,,,,,,,,,
,ошпарить,201.49,,шпарить,5.48,,,,,,,,,
,компания,199.79,,,,,,,,,,,,
,противник,199.13,,напротив,172.55,,против,74.31,,противный,57.00,,противно,20.91
,вопль,198.79,,вопить,165.17,,вопиять,130.05,,завопить,109.61,,возопить,104.17
,казнь,198.71,,казнить,137.63,,казниться,1.98,,наказанье,1.62,,,
,съемочный,196.58,,съемка,81.21,,съемный,32.86,,съем,17.53,,съемщик,7.75
,шеф,196.22,,шефский,8.95,,шефство,4.27,,подшефный,2.67,,шефствовать,1.65
,партнер,192.98,,партнерша,37.61,,партнерство,10.29,,партнерский,6.11,,,
,приятный,192.18,,приятно,50.10,,приятность,5.35,,приятнейший,4.45,,,
,безлюдный,190.97,,людно,26.07,,люд,19.66,,людный,8.66,,людишки,7.06
,матч,190.80,,,,,,,,,,,,
,корпус,189.57,,корпусной,4.71,,,,,,,,,
,реформа,189.35,,реформатор,55.71,,реформация,7.47,,,,,,
,хмуриться,189.21,,нахмурить,182.47,,нахмуриться,140.72,,нахмуренный,127.98,,хмурый,33.25
,акция,189.15,,акционерный,14.28,,,,,,,,,
,эффект,188.41,,эффектный,90.62,,эффективный,40.32,,эффективно,24.52,,эффектно,3.84
,палач,187.25,,,,,,,,,,,,
,практически,186.75,,,,,,,,,,,,
,инженер,184.91,,инженерный,14.73,,инженерия,5.47,,,,,,
,ошарашить,183.49,,шарахнуть,179.71,,шарахаться,156.77,,шарахнуться,129.61,,ошарашивать,127.22
,десяток,182.70,,десятка,74.13,,десятник,20.10,,десятина,16.82,,десятая,14.05
,февраль,181.23,,февральский,12.96,,,,,,,,,
,застывший,181.21,,,,,,,,,,,,
,озноб,181.08,,знобить,127.21,,,,,,,,,
,вдребезги,180.92,,дребезжать,155.07,,задребезжать,101.95,,дребезг,2.92,,дребезжание,1.60
,гетто,180.42,,,,,,,,,,,,
,отпрянуть,180.41,,воспрять,5.59,,воспрянуть,5.13,,прянуть,2.21,,,
,могильщик,180.31,,замогильный,127.09,,могильник,91.79,,могила,42.81,,могилка,37.95
,распороть,179.99,,порка,179.82,,вспороть,102.76,,выпороть,102.66,,вспарывать,76.56
,шпана,179.64,,,,,,,,,,,,
,бастовать,179.07,,забастовка,156.93,,забастовать,126.49,,бастующий,1.87,,забастовщик,1.33
,гадать,178.86,,загадка,102.83,,угадать,97.70,,догадаться,91.96,,разгадать,79.31
,вторник,178.74,,повторять,153.07,,вторичный,121.64,,повторный,118.49,,повторение,100.32
,результат,178.60,,,,,,,,,,,,
,спазм,178.58,,спазма,150.98,,,,,,,,,
,пасмурный,178.50,,,,,,,,,,,,
,фугас,178.02,,фугаска,125.80,,фугасный,0.91,,,,,,
,вывих,177.16,,вывихнуть,175.99,,вывихнутый,75.54,,свихнуться,1.34,,,
,обшарпать,176.87,,обшарпанный,126.96,,,,,,,,,
,пост,176.51,,постный,55.32,,поститься,23.19,,постник,16.99,,,
,парша,176.46,,паршивый,2.51,,,,,,,,,
,дерма,176.12,,дерматин,4.44,,дерматиновый,1.92,,дерматит,0.78,,,
,фраза,174.96,,фразочка,9.04,,фразеология,3.31,,фразировка,2.40,,,
,требовать,174.59,,потребитель,126.49,,требоваться,78.43,,потребность,75.62,,требование,68.37
,премия,173.77,,премиальный,6.11,,премиальные,4.83,,,,,,
,лидер,173.33,,лидерство,10.68,,лидировать,10.66,,лидин,5.71,,лидерский,3.50
,вуз,167.31,,вузовский,7.47,,,,,,,,,
,рыдать,166.39,,зарыдать,105.67,,разрыдаться,65.64,,рыдание,8.40,,навзрыд,4.37
,артиллерия,165.87,,артиллерист,8.68,,,,,,,,,
,стиль,165.62,,стильный,46.43,,стильно,12.98,,,,,,
,выплата,165.43,,плата,147.88,,платить,142.82,,оплата,141.44,,заплатить,63.34
,период,164.12,,периодически,13.91,,периодика,10.38,,периодизация,4.99,,,
,чужой,162.39,,чужак,53.92,,чужбина,30.17,,чуждый,26.07,,чужое,9.96
,провинциал,159.65,,провинциалка,102.84,,провинция,57.90,,,,,,
,экономист,158.92,,экономить,124.44,,экономика,121.19,,сэкономить,101.89,,экономия,86.95
,сатана,156.86,,осатанеть,1.50,,сатанист,0.90,,сатанинский,0.80,,сатанизм,0.27
,монстр,156.68,,,,,,,,,,,,
,карикатура,156.31,,карикатурист,3.27,,карикатурный,1.78,,,,,,
,киллер,155.18,,,,,,,,,,,,
,практика,154.51,,практический,27.77,,практиковать,18.20,,практицизм,3.34,,,
,тонна,154.24,,тонный,12.01,,тоннаж,3.21,,,,,,
,карцер,153.98,,,,,,,,,,,,
,дешифровка,153.17,,шифровальщик,101.96,,шифр,18.62,,шифровка,8.30,,расшифровка,6.77
,кокаин,152.93,,,,,,,,,,,,
,сплюснутый,152.75,,плющить,127.29,,сплющить,103.07,,приплюснутый,102.32,,расплющить,77.61
,агония,152.51,,,,,,,,,,,,
,гипнотизер,152.01,,,,,,,,,,,,
,объем,151.79,,объемный,92.56,,объемистый,33.81,,объемно,5.95,,объемность,3.91
,анатомичка,151.16,,анатом,5.69,,,,,,,,,
,наблюдать,150.82,,наблюдение,105.58,,наблюдатель,97.86,,соблюдать,72.55,,наблюдаться,36.23
,ситуация,149.95,,ситуационный,6.43,,,,,,,,,
,контроль,148.20,,контрольная,130.72,,контрольный,42.48,,госконтроль,6.26,,,
,фамилия,147.63,,,,,,,,,,,,
,штат,147.14,,штатское,44.07,,штатский,32.00,,штатный,18.94,,нештатный,5.20
,олигарх,146.39,,олигархия,1.05,,,,,,,,,
,жесткий,145.82,,жестко,43.63,,жестокий,20.82,,жесткость,15.96,,ожесточенный,7.83
,комитет,143.26,,оргкомитет,18.85,,подкомитет,4.34,,комитетчик,2.92,,,
,принцип,142.45,,принципал,15.53,,,,,,,,,
,август,141.44,,августейший,6.48,,августовский,5.85,,,,,,
,ощущать,141.21,,ощутить,113.16,,ощущение,76.78,,ощутимый,49.66,,ощущаться,23.74
,торжество,139.88,,восторг,139.09,,вторжение,108.74,,торжественно,35.05,,восторженный,26.55
,поздний,139.65,,опоздать,84.59,,поздно,64.17,,опаздывать,48.12,,запоздать,32.66
,заблудиться,139.39,,блуждать,34.81,,блуждающий,16.36,,блуждание,7.88,,блудный,7.69
,страховой,139.21,,страх,128.67,,страшный,81.27,,страшно,72.95,,страховка,67.07
,персонаж,138.84,,персонал,117.48,,персона,49.69,,персоналка,11.19,,персональный,10.52
,ген,138.49,,антиген,44.96,,генетик,44.73,,геном,34.72,,генетика,15.28
,секретарь,137.26,,госсекретарь,3.16,,,,,,,,,
,гений,137.20,,,,,,,,,,,,
,секунда,136.83,,секундант,27.07,,секундный,7.81,,секундочка,5.22,,,
,активный,136.75,,актив,73.91,,активность,42.37,,активист,37.08,,активизация,12.47
,характер,135.90,,характерный,49.28,,характерно,6.60,,,,,,
,кашлять,135.02,,откашляться,130.75,,покашливать,129.60,,прокашляться,103.44,,кашлянуть,92.65
,редактор,135.01,,редакторша,16.45,,редактура,3.79,,редакторский,3.43,,,
,забормотать,134.96,,пробормотать,61.08,,бормотать,36.21,,бормотание,5.33,,бормотанье,4.28
,традиция,134.46,,традиционный,29.99,,традиционно,19.18,,,,,,
,глодать,134.38,,обглодать,93.10,,голодный,29.27,,голод,28.02,,голодать,13.38
,вагон,134.08,,вагонка,13.46,,вагончик,8.75,,вагонный,8.51,,вагонетка,5.04
,анализ,133.46,,анализатор,18.75,,,,,,,,,
,мобилизация,133.26,,мобилизовать,106.50,,,,,,,,,
,отчет,132.30,,отчетливо,25.02,,отчетность,17.25,,отчетный,15.34,,отчетливый,12.06
,сначала,132.02,,изначально,25.55,,,,,,,,,
,японец,131.61,,японка,39.34,,японский,33.00,,по-японски,3.39,,,
,рекламный,130.22,,реклама,123.80,,рекламист,27.83,,рекламщик,7.14,,,
,сезон,130.21,,сезонный,5.92,,предсезонный,5.66,,межсезонье,4.11,,сезонность,3.18
,древний,129.70,,древнейший,21.84,,древние,16.97,,древность,16.80,,древлянин,7.51
,скулить,127.76,,заскулить,88.86,,,,,,,,,
,потроха,127.65,,потрошить,88.86,,выпотрошить,63.51,,потрошитель,63.19,,распотрошить,50.55
,выплевывать,127.48,,поплевывать,126.51,,оплевывать,75.68,,плева,11.05,,плевел,7.73
,итог,127.31,,итого,18.91,,итоговый,16.74,,,,,,
,барахтаться,127.24,,,,,,,,,,,,
,октябрь,127.19,,октябрьский,14.59,,октябренок,13.30,,,,,,
,рявкать,126.53,,рявкнуть,104.85,,,,,,,,,
,коллектив,126.14,,коллективизм,3.01,,,,,,,,,
