S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS
,осень,1732.15,,осенний,638.31,,по-осеннему,9.27,,,,,,
,флаг,1730.31,,флажок,1244.15,,,,,,,,,
,крыло,1726.46,,крыльцо,1169.70,,крылышко,855.58,,крылечко,845.94,,крылатка,425.87
,нефть,1725.11,,нефтяной,536.43,,нефтяник,462.27,,нефтянка,24.69,,,
,мечта,1724.49,,мечтать,1261.22,,мечтательный,220.91,,мечтание,54.92,,мечтательно,35.00
,двор,1724.26,,дворец,1617.36,,дворик,759.17,,дворник,662.46,,дворянин,512.55
,плащ,1721.12,,плащик,1214.44,,плащаница,363.51,,,,,,
,дождь,1720.21,,дождик,1271.84,,дождичек,821.97,,дождевик,821.04,,дождевой,44.40
,ученик,1719.92,,учитель,1610.32,,учебник,1579.51,,ученый,1353.29,,учить,1276.15
,каша,1719.80,,кашка,1424.66,,кашица,309.45,,,,,,
,камень,1719.68,,камешек,1107.32,,камушек,1094.65,,каменный,624.73,,каменщик,453.96
,юбка,1713.29,,юбочка,1224.57,,юбчонка,505.35,,,,,,
,заяц,1712.57,,зайчик,1247.26,,зайчонок,810.11,,зайка,741.22,,зайчишка,411.46
,крем,1712.17,,крематорий,78.92,,кремовый,19.30,,кремация,2.53,,кремировать,1.25
,пруд,1711.27,,прудок,1214.99,,прудик,1212.98,,прудить,516.52,,запруда,514.65
,слон,1707.42,,слоник,1222.16,,слониха,1008.70,,слоненок,812.55,,слоновый,19.07
,пляж,1707.24,,пляжный,522.65,,,,,,,,,
,овца,1701.51,,овечка,1229.34,,овчарка,1038.07,,овчина,622.29,,овчинка,513.56
,туча,1699.33,,тучка,362.25,,,,,,,,,
,клей,1699.17,,наклейка,828.35,,приклеить,729.78,,клеить,641.90,,склеить,535.44
,лыжа,1698.59,,лыжня,729.91,,лыжник,628.92,,лыжница,514.40,,лыжный,47.97
,шуба,1695.84,,шубка,1439.74,,шубейка,1011.59,,,,,,
,кран,1695.76,,краник,1213.31,,крановый,407.01,,,,,,
,орел,1693.44,,орлиный,1019.95,,орленок,1015.00,,орловский,4.83,,,
,вверх,1689.10,,вершина,1627.72,,верх,1488.29,,сверху,1369.92,,наверх,1053.60
,масло,1688.85,,масленица,729.76,,масленок,422.03,,маслице,129.68,,масляный,25.37
,ясный,1685.41,,ясно,1298.97,,объяснять,248.11,,выяснить,197.32,,пояснить,182.85
,винт,1684.70,,винтик,1239.85,,винтовка,430.89,,ввинтить,412.35,,отвинтить,364.80
,веко,1681.20,,,,,,,,,,,,
,мазь,1680.20,,мазок,750.07,,размазать,727.18,,смазка,664.89,,мазать,662.30
,шлем,1680.13,,шелом,713.65,,подшлемник,305.85,,ошеломить,13.73,,ошеломлять,12.27
,пена,1679.78,,пенка,1426.21,,пеночка,1007.98,,пенный,620.32,,пениться,413.55
,билет,1678.21,,билетик,1036.90,,билетер,20.47,,билетерша,17.55,,билетный,4.34
,тигр,1673.64,,тигрица,519.40,,тигренок,413.36,,тигровый,3.25,,тигриный,1.67
,хата,1673.16,,хатка,1416.67,,,,,,,,,
,пила,1672.90,,пилка,1419.95,,напильник,713.71,,пилить,645.24,,опилки,639.49
,очаг,1670.98,,очаговый,4.05,,,,,,,,,
,зеркало,1669.51,,зритель,1263.57,,зрение,1132.97,,прозрачный,924.49,,зрелище,880.74
,крюк,1669.42,,крючок,1272.61,,крючочек,810.29,,скрючить,210.45,,скрючиться,154.92
,гусь,1668.08,,гусак,1413.51,,гусик,1410.22,,гусенок,1008.16,,гусиный,523.08
,сало,1667.88,,сальник,510.00,,сальный,258.48,,засаленный,155.30,,,
,ваза,1664.53,,вазочка,1017.85,,вазон,715.66,,,,,,
,икра,1663.97,,икорка,1207.71,,икринка,1007.87,,,,,,
,шелк,1662.54,,шелковица,705.97,,шелковый,442.20,,шелковистый,260.45,,,
,сани,1662.38,,санки,1434.04,,саночки,1010.42,,санный,612.50,,,
